term,type,category,description,status,source,related_terms,etymology_notes
Gravity-Tech,Core Technology,Foundation,Base technology for gravity manipulation and control,pending,varchiver,Spacedrive;Directed Gravity Device,
Wave Manipulation,Core Technology,Foundation,Control and manipulation of various wave types,pending,varchiver,Resonator;Harmonic Blade,
Spacedrive,Propulsion,Core,Advanced propulsion system using gravity-tech,pending,varchiver,Gravity-Tech,
Directed Gravity Device,Utility,Core,Device for precise gravity manipulation,pending,varchiver,Gravity-Tech;Gravitic Manipulator,
Gravimancy,Magic System,Core,Fusion of gravity-tech and magical principles,pending,varchiver,Magitek Core,
Spinjack,Core Technology,Foundation,Kinetic energy storage and manipulation,Implemented,varchiver,Turnstile;Rail Grindstone,
Turnstile,Propulsion,Core,Angular momentum propulsion system,Implemented,varchiver,Spinjack,
Ionocaloric,Thermal,Core,Temperature manipulation through ion cycling,Implemented,varchiver,Thermal Regulator,
Caboodler,Utility,Core,Modular utility system,Implemented,varchiver,,
Rail Grindstone,Power,Core,Momentum storage and energy generation,Implemented,varchiver,Spinjack,
Cubeport,Structure,Core,Main spaceport structure with themed faces,pending,varchiver,,
Oceth,Location,World,Main continent with ancient ruins and settlements,pending,varchiver,Devast Vale;House Devast,Possibly related to Occeths from naming doc
Drush Syndicate,Faction,World,Technology-focused faction,pending,varchiver,,
Lokex Frame,Faction,World,Advanced engineering faction,pending,varchiver,Lokex Chip,
Feap Wardens,Faction,World,Environmental and thermal tech faction,pending,varchiver,Feap,
The Shrow,Faction,World,Mysterious faction with advanced tech,pending,varchiver,Shrow,
Nethbound,Faction,World,Magic-tech fusion faction,pending,varchiver,Neth,
United Systems,Faction,World,Main governing body,pending,varchiver,,
Devast Core,Power,Core,Volatile gravitational singularity generator for deep-space dreadnoughts,pending,varchiver,Order of the Devast,
Devast Beacon,Weapon,Core,Resonance amplifier that disassembles enemy constructs via wave collapse,pending,varchiver,Order of the Devast,
Devast Node,Utility,Core,Forbidden neural uplink terminal for AI cluster override,pending,varchiver,Order of the Devast,
Devast Shard,Material,Core,Fractured crystal for high-tier magic/tech hybrids,pending,varchiver,Order of the Devast,
Devast Engine,Propulsion,Core,Spinjack-aligned hyperspin engine using controlled entropy,pending,varchiver,Order of the Devast;Spinjack,
